date,Convertible.Arbitrage,CTA.Global,Distressed.Securities
1997-01-31,0.0119,0.0393,0.0178
1997-02-28,0.0123,0.0298,0.0122
1997-03-31,0.0078,-0.0021,-0.0012
1997-04-30,0.0086,-0.017,0.003
1997-05-31,0.0156,-0.0015,0.0233
1997-06-30,0.0212,0.0085,0.0217
1997-07-31,0.0193,0.0591,0.0234
1997-08-31,0.0134,-0.0473,0.0147
1997-09-30,0.0122,0.0198,0.035
1997-10-31,0.01,-0.0098,-0.0064
1997-11-30,0,0.0133,0.0054
1997-12-31,0.0068,0.0286,0.0073
1998-01-31,0.0145,0.0104,0.0095
1998-02-28,0.0146,-0.0065,0.0227
1998-03-31,0.0144,0.0122,0.0252
1998-04-30,0.0126,-0.0296,0.0165
1998-05-31,0.0056,0.0193,0.0006
1998-06-30,-0.0006,0.0051,-0.0047
1998-07-31,0.006,-0.001,-0.0069
1998-08-31,-0.0319,0.0691,-0.0836
1998-09-30,-0.0196,0.0454,-0.0215
1998-10-31,-0.0214,0.0004,-0.0029
1998-11-30,0.0269,-0.0089,0.0164
1998-12-31,0.0113,0.0221,0.0108
1999-01-31,0.0219,-0.0167,0.0181
1999-02-28,0.0082,0.0197,-0.0021
1999-03-31,0.0136,-0.0065,0.0159
1999-04-30,0.0243,0.021,0.0418
1999-05-31,0.0166,-0.015,0.0207
1999-06-30,0.0102,0.0234,0.0273
1999-07-31,0.0101,-0.0051,0.0084
1999-08-31,0.0048,-0.0027,0.002
1999-09-30,0.0096,0.0064,-0.0041
1999-10-31,0.0045,-0.0354,0.0027
1999-11-30,0.0124,0.0166,0.022
1999-12-31,0.014,0.0142,0.03
2000-01-31,0.0227,0.0128,0.0088
2000-02-29,0.0267,-0.0022,0.0421
2000-03-31,0.0243,-0.0138,0.0103
2000-04-30,0.0223,-0.0241,-0.0101
2000-05-31,0.0149,0.0114,-0.0132
2000-06-30,0.0179,-0.0124,0.0203
2000-07-31,0.0093,-0.0131,0.0064
2000-08-31,0.0162,0.0189,0.014
2000-09-30,0.0141,-0.0208,-0.0019
2000-10-31,0.0052,0.0075,-0.0073
2000-11-30,-0.0081,0.0425,-0.0209
2000-12-31,-0.0002,0.0682,0.0001
2001-01-31,0.0344,0.0025,0.0308
2001-02-28,0.0182,-0.0016,0.01
2001-03-31,0.0162,0.0438,-0.0037
2001-04-30,0.0157,-0.0362,0.0048
2001-05-31,0.0033,0.0081,0.0235
2001-06-30,0.0012,-0.0077,0.036
2001-07-31,0.0091,-0.004,0.0073
2001-08-31,0.0142,0.0153,0.0106
2001-09-30,0.0078,0.0246,-0.0014
2001-10-31,0.0117,0.0336,0.0103
2001-11-30,0.008,-0.0543,0.0086
2001-12-31,-0.0094,0.0148,0.0015
2002-01-31,0.0148,-0.0072,0.0186
2002-02-28,-0.0049,-0.0202,-0.0033
2002-03-31,0.0053,0.0009,0.0052
2002-04-30,0.0096,-0.0104,0.0139
2002-05-31,0.0033,0.027,0.0091
2002-06-30,0.0004,0.0655,-0.0117
2002-07-31,-0.0159,0.0413,-0.0133
2002-08-31,0.005,0.022,0.0009
2002-09-30,0.0146,0.0284,-0.0044
2002-10-31,0.0104,-0.0376,-0.0031
2002-11-30,0.0251,-0.0164,0.0239
2002-12-31,0.0157,0.0489,0.0222
2003-01-31,0.0283,0.0441,0.0243
2003-02-28,0.0133,0.0402,0.0092
2003-03-31,0.0089,-0.0445,0.0113
2003-04-30,0.015,0.0065,0.0345
2003-05-31,0.0136,0.049,0.027
2003-06-30,-0.0058,-0.0192,0.0267
2003-07-31,-0.0072,-0.0171,0.0117
2003-08-31,-0.0087,0.0078,0.0137
2003-09-30,0.0171,-0.0019,0.0242
2003-10-31,0.0146,0.0104,0.0267
2003-11-30,0.0092,0.0018,0.0154
2003-12-31,0.0054,0.0381,0.0198
2004-01-31,0.0119,0.0199,0.0301
2004-02-29,0.0017,0.0529,0.0075
2004-03-31,0.0061,-0.0051,0.0046
2004-04-30,0.002,-0.0532,0.0093
2004-05-31,-0.0128,-0.0118,-0.001
2004-06-30,-0.0106,-0.0316,0.0202
2004-07-31,0.0013,-0.0119,0.0019
2004-08-31,0.004,-0.0084,0.0088
2004-09-30,-0.0017,0.022,0.0104
2004-10-31,-0.0044,0.0358,0.0143
2004-11-30,0.0081,0.0475,0.0337
2004-12-31,0.0056,0,0.0266
2005-01-31,-0.0096,-0.0438,0.0037
2005-02-28,-0.0058,0.0005,0.0134
2005-03-31,-0.014,-0.0006,0.0032
2005-04-30,-0.0316,-0.0354,-0.0052
2005-05-31,-0.0133,0.0232,0.0006
2005-06-30,0.0107,0.026,0.0133
2005-07-31,0.0164,-0.0013,0.0173
2005-08-31,0.0066,0.01,0.0124
2005-09-30,0.0142,0.0079,0.0112
2005-10-31,-0.0015,-0.0092,-0.0032
2005-11-30,0.0004,0.0379,0.01
2005-12-31,0.0092,-0.0153,0.0122
2006-01-31,0.025,0.0174,0.0253
2006-02-28,0.0116,-0.0186,0.0065
2006-03-31,0.0107,0.0284,0.0172
2006-04-30,0.0064,0.0387,0.0193
2006-05-31,0.0091,-0.0146,0.0086
2006-06-30,0.0012,-0.0142,-0.0015
2006-07-31,0.0066,-0.0216,0.0009
2006-08-31,0.0098,0.002,0.0099
2006-09-30,0.0093,-0.0055,0.0033
2006-10-31,0.0054,0.0102,0.0194
2006-11-30,0.0092,0.0226,0.0179
2006-12-31,0.0127,0.0146,0.0165
2007-01-31,0.013,0.0113,0.015
2007-02-28,0.0117,-0.0144,0.0145
2007-03-31,0.006,-0.0141,0.0108
2007-04-30,0.0026,0.0241,0.0164
2007-05-31,0.011,0.023,0.018
2007-06-30,0.0011,0.0229,0.0027
2007-07-31,-0.0053,-0.0122,-0.0056
2007-08-31,-0.0145,-0.028,-0.0118
2007-09-30,0.0161,0.0469,0.0095
2007-10-31,0.0177,0.028,0.0175
2007-11-30,-0.0131,-0.0016,-0.0169
2007-12-31,-0.0077,0.0117,0.0002
2008-01-31,-0.0009,0.0255,-0.0233
2008-02-29,-0.0083,0.062,0.0014
2008-03-31,-0.0317,-0.0056,-0.0126
2008-04-30,0.0076,-0.0078,0.0088
2008-05-31,0.0107,0.0162,0.0137
2008-06-30,-0.0081,0.033,-0.0031
2008-07-31,-0.0188,-0.0333,-0.0182
2008-08-31,-0.0066,-0.0114,-0.0072
2008-09-30,-0.1027,0.001,-0.0518
2008-10-31,-0.1237,0.0345,-0.0775
2008-11-30,-0.0276,0.0214,-0.0435
2008-12-31,0.0177,0.014,-0.0197
2009-01-31,0.0491,-0.0016,0.0082
2009-02-28,0.0164,-0.0031,-0.0122
2009-03-31,0.0235,-0.018,0.0022
2009-04-30,0.05,-0.014,0.0387
2009-05-31,0.0578,0.0213,0.0504
2009-06-30,0.0241,-0.0147,0.0198
2009-07-31,0.0611,-0.0012,0.0311
2009-08-31,0.0315,0.0054,0.0244
